tag,text,xpath
a,Skip to content,/html/body/a
h3,Your cart,/html/body/div[2]/div/div[2]/div/form/header/h3
p,Free Shipping on all orders. Shop now!,/html/body/div[2]/div/div[2]/div/form/div[2]/p
h4,Your Cart is Empty,/html/body/div[2]/div/div[2]/div/form/div[3]/h4
a,shop all products,/html/body/div[2]/div/div[2]/div/form/div[3]/ul/li[1]/a
a,shop haircare,/html/body/div[2]/div/div[2]/div/form/div[3]/ul/li[2]/a
a,shop bundles,/html/body/div[2]/div/div[2]/div/form/div[3]/ul/li[3]/a
p,FREE SHIPPING OVER $35,/html/body/div[3]/div/div/div/div[1]/div/p
p,FREE INTERNATIONAL DELIVERY,/html/body/div[3]/div/div/div/div[2]/div/p
p,25% OFF FOREVER WITH AUTO-SHIP SHOP NOW,/html/body/div[3]/div/div/div/div[3]/div/p
a,SHOP NOW,/html/body/div[3]/div/div/div/div[3]/div/p/a
p,BUNDLE & SAVE UP TO 30%! SHOP NOW,/html/body/div[3]/div/div/div/div[4]/div/p
a,SHOP NOW,/html/body/div[3]/div/div/div/div[3]/div/p/a
a,SHOP,/html/body/div[4]/header/div[1]/nav/ul/li[1]/noscript/a
a,SHOP,/html/body/div[4]/header/div[1]/nav/ul/li[1]/noscript/a
h3,Collections,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/h3
a,Best Sellers,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[1]/a
a,What's New,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[2]/a
a,Kitsch & Mickey and Minnie,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[3]/a
a,Hello Kitty x Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[4]/a
a,Bridgerton x Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[5]/a
a,Wonder Woman x Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[6]/a
a,Barbie x Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[7]/a
a,Harry Potter x Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[8]/a
a,Disney X Kitsch,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[1]/ul/li[9]/a
h3,Hair Care,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/h3
a,Shampoo & Conditioner,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[1]/a
a,Heatless Hair,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[2]/a
a,Hair Treatment,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[3]/a
a,Hair Styling,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[4]/a
a,Shower Filters,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[5]/a
a,Accessories,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[6]/a
a,Bundles,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[2]/ul/li[7]/a
h3,Sleep,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/h3
a,Sleep,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/h3/a
a,Pillowcases,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[1]/a
a,The Glazey,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[2]/a
a,Eye Masks,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[3]/a
a,Sleep Caps & Bonnets,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[3]/ul/li[4]/a
h3,Cleanse,/html/body/div[4]/header/div[1]/nav/ul/li[1]/div/div/div/div/div/div[4]/h3
